j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
247 -1.796e+40 9.772e+14 1.000e+07 1.658e-07 7.000e-01 2.800e-01
248 -1.794e+40 9.863e+14 1.000e+07 1.628e-07 7.000e-01 2.800e-01
249 -1.792e+40 9.954e+14 1.000e+07 1.598e-07 7.000e-01 2.800e-01
250 -1.790e+40 1.005e+15 1.000e+07 1.569e-07 7.000e-01 2.800e-01
251 -1.788e+40 1.014e+15 1.000e+07 1.540e-07 7.000e-01 2.800e-01
252 -1.786e+40 1.023e+15 1.000e+07 1.512e-07 7.000e-01 2.800e-01
253 -1.784e+40 1.033e+15 1.000e+07 1.485e-07 7.000e-01 2.800e-01
254 -1.783e+40 1.042e+15 1.000e+07 1.457e-07 7.000e-01 2.800e-01
255 -1.781e+40 1.052e+15 1.000e+07 1.431e-07 7.000e-01 2.800e-01
256 -1.779e+40 1.062e+15 1.000e+07 1.405e-07 7.000e-01 2.800e-01
257 -1.777e+40 1.072e+15 1.000e+07 1.379e-07 7.000e-01 2.800e-01
258 -1.775e+40 1.082e+15 1.000e+07 1.354e-07 7.000e-01 2.800e-01
259 -1.773e+40 1.092e+15 1.000e+07 1.329e-07 7.000e-01 2.800e-01
260 -1.771e+40 1.102e+15 1.000e+07 1.305e-07 7.000e-01 2.800e-01
261 -1.769e+40 1.112e+15 1.000e+07 1.281e-07 7.000e-01 2.800e-01
262 -1.767e+40 1.122e+15 1.000e+07 1.257e-07 7.000e-01 2.800e-01
263 -1.765e+40 1.133e+15 1.000e+07 1.234e-07 7.000e-01 2.800e-01
264 -1.763e+40 1.143e+15 1.000e+07 1.212e-07 7.000e-01 2.800e-01
265 -1.760e+40 1.154e+15 1.000e+07 1.190e-07 7.000e-01 2.800e-01
266 -1.758e+40 1.164e+15 1.000e+07 1.168e-07 7.000e-01 2.800e-01
267 -1.756e+40 1.175e+15 1.000e+07 1.146e-07 7.000e-01 2.800e-01
268 -1.754e+40 1.186e+15 1.000e+07 1.126e-07 7.000e-01 2.800e-01
269 -1.752e+40 1.197e+15 1.000e+07 1.105e-07 7.000e-01 2.800e-01
270 -1.750e+40 1.208e+15 1.000e+07 1.085e-07 7.000e-01 2.800e-01
271 -1.747e+40 1.219e+15 1.000e+07 1.065e-07 7.000e-01 2.800e-01
272 -1.745e+40 1.231e+15 1.000e+07 1.045e-07 7.000e-01 2.800e-01
273 -1.743e+40 1.242e+15 1.000e+07 1.026e-07 7.000e-01 2.800e-01
274 -1.741e+40 1.254e+15 1.000e+07 1.008e-07 7.000e-01 2.800e-01
275 -1.738e+40 1.265e+15 1.000e+07 9.891e-08 7.000e-01 2.800e-01
276 -1.736e+40 1.277e+15 1.000e+07 9.710e-08 7.000e-01 2.800e-01
277 -1.734e+40 1.289e+15 1.000e+07 9.532e-08 7.000e-01 2.800e-01
278 -1.731e+40 1.301e+15 1.000e+07 9.358e-08 7.000e-01 2.800e-01
279 -1.729e+40 1.313e+15 1.000e+07 9.187e-08 7.000e-01 2.800e-01
280 -1.726e+40 1.325e+15 1.000e+07 9.019e-08 7.000e-01 2.800e-01
281 -1.724e+40 1.337e+15 1.000e+07 8.854e-08 7.000e-01 2.800e-01
282 -1.721e+40 1.350e+15 1.000e+07 8.692e-08 7.000e-01 2.800e-01
283 -1.719e+40 1.362e+15 1.000e+07 8.533e-08 7.000e-01 2.800e-01
284 -1.716e+40 1.375e+15 1.000e+07 8.377e-08 7.000e-01 2.800e-01
285 -1.714e+40 1.388e+15 1.000e+07 8.224e-08 7.000e-01 2.800e-01
286 -1.711e+40 1.401e+15 1.000e+07 8.073e-08 7.000e-01 2.800e-01
287 -1.709e+40 1.414e+15 1.000e+07 7.926e-08 7.000e-01 2.800e-01
288 -1.706e+40 1.427e+15 1.000e+07 7.781e-08 7.000e-01 2.800e-01
289 -1.703e+40 1.440e+15 1.000e+07 7.639e-08 7.000e-01 2.800e-01
290 -1.701e+40 1.453e+15 1.000e+07 7.499e-08 7.000e-01 2.800e-01
291 -1.698e+40 1.467e+15 1.000e+07 7.362e-08 7.000e-01 2.800e-01
292 -1.695e+40 1.480e+15 1.000e+07 7.227e-08 7.000e-01 2.800e-01
293 -1.693e+40 1.494e+15 1.000e+07 7.095e-08 7.000e-01 2.800e-01
294 -1.690e+40 1.508e+15 1.000e+07 6.965e-08 7.000e-01 2.800e-01
295 -1.687e+40 1.522e+15 1.000e+07 6.838e-08 7.000e-01 2.800e-01
296 -1.684e+40 1.536e+15 1.000e+07 6.713e-08 7.000e-01 2.800e-01
297 -1.682e+40 1.550e+15 1.000e+07 6.590e-08 7.000e-01 2.800e-01
298 -1.679e+40 1.565e+15 1.000e+07 6.469e-08 7.000e-01 2.800e-01
299 -1.676e+40 1.579e+15 1.000e+07 6.351e-08 7.000e-01 2.800e-01
300 -1.673e+40 1.594e+15 1.000e+07 6.235e-08 7.000e-01 2.800e-01
301 -1.670e+40 1.608e+15 1.000e+07 6.121e-08 7.000e-01 2.800e-01
302 -1.667e+40 1.623e+15 1.000e+07 6.009e-08 7.000e-01 2.800e-01
303 -1.664e+40 1.638e+15 1.000e+07 5.899e-08 7.000e-01 2.800e-01
304 -1.661e+40 1.654e+15 1.000e+07 5.791e-08 7.000e-01 2.800e-01
305 -1.658e+40 1.669e+15 1.000e+07 5.685e-08 7.000e-01 2.800e-01
