j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
175 8.296e+31 5.028e+14 1.000e+07 7.105e-14 7.000e-01 2.800e-01
176 8.401e+31 5.075e+14 1.000e+07 6.975e-14 7.000e-01 2.800e-01
177 8.507e+31 5.122e+14 1.000e+07 6.847e-14 7.000e-01 2.800e-01
178 8.614e+31 5.169e+14 1.000e+07 6.721e-14 7.000e-01 2.800e-01
179 8.723e+31 5.217e+14 1.000e+07 6.597e-14 7.000e-01 2.800e-01
180 8.832e+31 5.266e+14 1.000e+07 6.475e-14 7.000e-01 2.800e-01
181 8.942e+31 5.314e+14 1.000e+07 6.354e-14 7.000e-01 2.800e-01
182 9.053e+31 5.364e+14 1.000e+07 6.236e-14 7.000e-01 2.800e-01
183 9.165e+31 5.413e+14 1.000e+07 6.120e-14 7.000e-01 2.800e-01
184 9.278e+31 5.464e+14 1.000e+07 6.006e-14 7.000e-01 2.800e-01
185 9.392e+31 5.514e+14 1.000e+07 5.893e-14 7.000e-01 2.800e-01
186 9.507e+31 5.565e+14 1.000e+07 5.783e-14 7.000e-01 2.800e-01
187 9.623e+31 5.617e+14 1.000e+07 5.674e-14 7.000e-01 2.800e-01
188 9.740e+31 5.669e+14 1.000e+07 5.567e-14 7.000e-01 2.800e-01
189 9.858e+31 5.722e+14 1.000e+07 5.461e-14 7.000e-01 2.800e-01
190 9.977e+31 5.775e+14 1.000e+07 5.358e-14 7.000e-01 2.800e-01
191 1.010e+32 5.828e+14 1.000e+07 5.256e-14 7.000e-01 2.800e-01
192 1.022e+32 5.882e+14 1.000e+07 5.156e-14 7.000e-01 2.800e-01
193 1.034e+32 5.937e+14 1.000e+07 5.057e-14 7.000e-01 2.800e-01
194 1.046e+32 5.992e+14 1.000e+07 4.960e-14 7.000e-01 2.800e-01
195 1.059e+32 6.047e+14 1.000e+07 4.865e-14 7.000e-01 2.800e-01
196 1.071e+32 6.103e+14 1.000e+07 4.771e-14 7.000e-01 2.800e-01
197 1.084e+32 6.160e+14 1.000e+07 4.679e-14 7.000e-01 2.800e-01
