j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
249 1.691e+32 9.954e+14 1.000e+07 9.396e-15 7.000e-01 2.800e-01
250 1.701e+32 1.005e+15 1.000e+07 9.139e-15 7.000e-01 2.800e-01
251 1.712e+32 1.014e+15 1.000e+07 8.889e-15 7.000e-01 2.800e-01
252 1.723e+32 1.023e+15 1.000e+07 8.644e-15 7.000e-01 2.800e-01
253 1.733e+32 1.033e+15 1.000e+07 8.406e-15 7.000e-01 2.800e-01
254 1.744e+32 1.042e+15 1.000e+07 8.174e-15 7.000e-01 2.800e-01
255 1.755e+32 1.052e+15 1.000e+07 7.947e-15 7.000e-01 2.800e-01
256 1.765e+32 1.062e+15 1.000e+07 7.726e-15 7.000e-01 2.800e-01
257 1.776e+32 1.072e+15 1.000e+07 7.511e-15 7.000e-01 2.800e-01
258 1.787e+32 1.082e+15 1.000e+07 7.300e-15 7.000e-01 2.800e-01
259 1.797e+32 1.092e+15 1.000e+07 7.095e-15 7.000e-01 2.800e-01
260 1.808e+32 1.102e+15 1.000e+07 6.895e-15 7.000e-01 2.800e-01
261 1.819e+32 1.112e+15 1.000e+07 6.700e-15 7.000e-01 2.800e-01
262 1.829e+32 1.122e+15 1.000e+07 6.510e-15 7.000e-01 2.800e-01
263 1.840e+32 1.133e+15 1.000e+07 6.325e-15 7.000e-01 2.800e-01
264 1.850e+32 1.143e+15 1.000e+07 6.145e-15 7.000e-01 2.800e-01
265 1.861e+32 1.154e+15 1.000e+07 5.969e-15 7.000e-01 2.800e-01
266 1.872e+32 1.164e+15 1.000e+07 5.797e-15 7.000e-01 2.800e-01
267 1.882e+32 1.175e+15 1.000e+07 5.630e-15 7.000e-01 2.800e-01
268 1.893e+32 1.186e+15 1.000e+07 5.467e-15 7.000e-01 2.800e-01
269 1.903e+32 1.197e+15 1.000e+07 5.309e-15 7.000e-01 2.800e-01
270 1.914e+32 1.208e+15 1.000e+07 5.154e-15 7.000e-01 2.800e-01
