3.0000E-03 6.5760E-15
6.3607E-03 3.5404E-01 2.6358E-06
6.3707E-03 3.5404E-01 2.2713E-06
6.3808E-03 3.5408E-01 3.6563E-05
6.3908E-03 3.5406E-01 2.1968E-05
6.4008E-03 3.5406E-01 2.2629E-05
6.4108E-03 3.5412E-01 7.7651E-05
6.4208E-03 3.5404E-01 2.1179E-06
6.4309E-03 3.5404E-01 1.8270E-06
6.4409E-03 3.5404E-01 2.5387E-06
6.4509E-03 3.5404E-01 2.9504E-06
6.4609E-03 3.5404E-01 3.1356E-06
6.4709E-03 3.5404E-01 2.1589E-06
6.4810E-03 3.5405E-01 1.5798E-05
6.4910E-03 3.5406E-01 1.6809E-05
6.5010E-03 3.5404E-01 2.8445E-06
6.5110E-03 3.5404E-01 1.9024E-06
6.5210E-03 3.5415E-01 1.1515E-04
6.5311E-03 3.5407E-01 3.4018E-05
6.5411E-03 3.5405E-01 1.4945E-05
6.5511E-03 3.5405E-01 9.3968E-06
6.5611E-03 3.5406E-01 1.8821E-05
6.5711E-03 3.5423E-01 1.9622E-04
6.5812E-03 3.5406E-01 1.9144E-05
6.5912E-03 3.5404E-01 6.7878E-06
6.6012E-03 3.5406E-01 2.2806E-05
6.6112E-03 3.5404E-01 4.9541E-06
6.6212E-03 3.5404E-01 2.4341E-06
6.6313E-03 3.5404E-01 2.1008E-06
6.6413E-03 3.5404E-01 3.1509E-06
6.6513E-03 3.5406E-01 1.9984E-05
6.6613E-03 3.5442E-01 3.8493E-04
6.6713E-03 3.5420E-01 1.5817E-04
6.6814E-03 3.5404E-01 4.8397E-06
6.6914E-03 3.5405E-01 1.3999E-05
6.7014E-03 3.5546E-01 1.4295E-03
6.7114E-03 3.5410E-01 6.7064E-05
6.7214E-03 3.5405E-01 1.3053E-05
6.7315E-03 3.5404E-01 6.4219E-06
6.7415E-03 3.5405E-01 8.8024E-06
6.7515E-03 3.5404E-01 3.5316E-06
6.7615E-03 3.5404E-01 2.8847E-06
6.7715E-03 3.5404E-01 5.9795E-06
6.7816E-03 3.5405E-01 9.9229E-06
6.7916E-03 3.5452E-01 4.8474E-04
